ID	ID Type	Name	Family	Source	Transcription factor	Transcription regulator	Stress/Process
Cre06.g252000	Phytozome v5	LZTFL1	Leucine/zipper TF	DOI 10.1186/s13068-014-0171-1	Yes	No	Lipid accumulation during N starvation
Cre12.g528400	Phytozome v5	FEMU2	C2H2	doi:10. 1371/journal.pone.0112977	Yes	No	Regulate fox1 (ferroxidase) expression
Cre12.g510200	Phytozome v5	-	bZIP	10.1016/j.ygeno.2019.06.027	Yes	No	
Cre14.g620500	Phytozome v5	-	AP2-EREBP	10.1016/j.ygeno.2019.06.027	Yes	No	Change their expression in Cold stress
Cre01.g000050	Phytozome v5	RWP14	RWP-RK	10.1016/j.algal.2019.101765	Yes	No	Change their expression in Cold stress
Cre10.g444450	Phytozome v5	SSA17	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre14.g625802	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre16.g656250	Phytozome v5	SMP12	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre17.g714500	Phytozome v5	HTA1	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre06.g288750	Phytozome v5	CBP20	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre06.g254650	Phytozome v5	-	C3H	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre14.g632050	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre01.g035150	Phytozome v5	-	C3H	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre10.g446900	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre02.g115250	Phytozome v5	POC1	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre12.g523200	Phytozome v5	NURF55	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre09.g389550	Phytozome v5	DNJ13	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre03.g197350	Phytozome v5	-	MYB-related	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre17.g713900	Phytozome v5	LST8	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre01.g020400	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre09.g392350	Phytozome v5	CGLD37	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre01.g035000	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre17.g729150	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre16.g662800	Phytozome v5	PRP4	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre06.g275100	Phytozome v5	-	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre06.g274200	Phytozome v5	HTA42	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre12.g507650	Phytozome v5	CDJ1	-	10.1016/j.algal.2019.101765	Yes	No	Change their expression in low CO2
Cre07.g321550	Phytozome v5	CrebZip4	bZIP	doi:10.3390/ijms19092800	Yes	No	Change their expression in low CO2
Cre07.g344668	Phytozome v5	CrebZip5	bZIP	doi:10.3390/ijms19092800	Yes	No	 Change their expression in salt stress
Cre12.g501600	Phytozome v5	CrebZip10	bZIP	doi:10.3390/ijms19092800	Yes	No	 Change their expression in salt stress
Cre12.g557300	Phytozome v5	CrebZip11	bZIP	doi:10.3390/ijms19092800	Yes	No	 Change their expression in salt stress
Cre13.g590350	Phytozome v5	CrebZip13	bZIP	doi:10.3390/ijms19092800	Yes	No	 Change their expression in salt stress
Cre16.g675700	Phytozome v5	CrebZip16	bZIP	doi:10.3390/ijms19092800	Yes	No	 Change their expression in salt stress
Cre13.g562400	Phytozome v5	ABI3	ABI3/ VP1	Database	Yes	No	
Cre16.g661650	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre06.g275500	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre08.g364400	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre16.g649433	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre08.g383000	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre16.g674890	Phytozome v5	CGLD5B	AP2-EREBP	Database	Yes	No	
Cre19.g750947	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre03.g209953	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre08.g385350	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre10.g441300	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre10.g441350	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre01.g023100	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre01.g009650	Phytozome v5	BUG25	AP2-EREBP	Database	Yes	No	
Cre14.g620500	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre16.g667900	Phytozome v5	-	AP2-EREBP	Database	Yes	No	
Cre07.g353500	Phytozome v5	CGLD5A	AP2-EREBP	Database	Yes	No	
Cre05.g243000	Phytozome v5	-	ARR-B	Database	Yes	No	
Cre07.g332250	Phytozome v5	-	bHLH	Database	Yes	No	
Cre07.g349152	Phytozome v5	-	bHLH	Database	Yes	No	
Cre01.g011150	Phytozome v5	-	bHLH	Database	Yes	No	
Cre02.g109683	Phytozome v5	-	bHLH	Database	Yes	No	
Cre14.g620850	Phytozome v5	NSG17	bHLH	Database	Yes	No	
Cre07.g353555	Phytozome v5	-	bHLH	Database	Yes	No	
Cre05.g241636	Phytozome v5	-	bHLH	Database	Yes	No	
Cre04.g224600	Phytozome v5	-	bHLH	Database	Yes	No	
Cre04.g216200	Phytozome v5	-	bHLH 	Database	Yes	No	
Cre04.g216204	Phytozome v5	-	bHLH 	Database	Yes	No	
Cre10.g466550	Phytozome v5	-	BSD 	Database	Yes	No	
Cre06.g284000	Phytozome v5	-	BSD 	Database	Yes	No	
Cre10.g454850	Phytozome v5	-	bZIP	Database	Yes	No	
Cre07.g321550	Phytozome v5	-	bZIP	Database	Yes	No	
Cre13.g568350	Phytozome v5	-	bZIP	Database	Yes	No	
Cre13.g590350	Phytozome v5	-	bZIP	Database	Yes	No	
Cre05.g238250	Phytozome v5	-	bZIP	Database	Yes	No	
Cre12.g557300	Phytozome v5	-	bZIP	Database	Yes	No	
Cre17.g746547	Phytozome v5	-	bZIP	Database	Yes	No	
Cre12.g501600	Phytozome v5	-	bZIP	Database	Yes	No	
Cre16.g692250	Phytozome v5	-	bZIP	Database	Yes	No	
Cre10.g438850	Phytozome v5	ROC76	bZIP	Database	Yes	No	
Cre16.g675700	Phytozome v5	-	bZIP	Database	Yes	No	
Cre12.g510200	Phytozome v5	-	bZIP	Database	Yes	No	
Cre01.g051174	Phytozome v5	-	bZIP	Database	Yes	No	
Cre16.g653300	Phytozome v5	-	bZIP	Database	Yes	No	
Cre09.g413050	Phytozome v5	-	bZIP	Database	Yes	No	
Cre07.g318050	Phytozome v5	-	bZIP	Database	Yes	No	
Cre06.g278159	Phytozome v5	-	C2C2-CO-like	Database	Yes	No	
Cre12.g521150	Phytozome v5	CGL19	C2C2-Dof	Database	Yes	No	
Cre03.g160600	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre11.g467581	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre10.g435450	Phytozome v5	CPL2	C2C2-GATA	Database	Yes	No	
Cre12.g538550	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre05.g242600	Phytozome v5	CGL106	C2C2-GATA	Database	Yes	No	
Cre06.g266950	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre08.g378800	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre03.g160700	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre01.g025050	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre08.g378450	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre06.g266850	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre07.g319701	Phytozome v5	-	C2C2-GATA	Database	Yes	No	
Cre03.g185950	Phytozome v5	-	C2H2	Database	Yes	No	
Cre03.g201250	Phytozome v5	-	C2H2	Database	Yes	No	
Cre09.g389750	Phytozome v5	-	C2H2	Database	Yes	No	
Cre06.g305200	Phytozome v5	-	C2H2	Database	Yes	No	
Cre05.g240650	Phytozome v5	DNJ32	C2H2	Database	Yes	No	
Cre01.g035150	Phytozome v5	-	C3H	Database	Yes	No	
Cre04.g229948	Phytozome v5	-	C3H	Database	Yes	No	
Cre03.g145407	Phytozome v5	-	C3H	Database	Yes	No	
Cre03.g146267	Phytozome v5	-	C3H	Database	Yes	No	
Cre02.g075650	Phytozome v5	-	C3H	Database	Yes	No	
Cre03.g172800	Phytozome v5	-	C3H	Database	Yes	No	
Cre01.g014050	Phytozome v5	-	C3H	Database	Yes	No	
Cre06.g293750	Phytozome v5	-	C3H	Database	Yes	No	
Cre06.g250950	Phytozome v5	-	C3H	Database	Yes	No	
Cre12.g523000	Phytozome v5	-	C3H	Database	Yes	No	
Cre10.g460400	Phytozome v5	-	C3H	Database	Yes	No	
Cre02.g097850	Phytozome v5	-	C3H	Database	Yes	No	
Cre11.g476200	Phytozome v5	-	C3H	Database	Yes	No	
Cre13.g566200	Phytozome v5	CGL112	C3H	Database	Yes	No	
Cre03.g154900	Phytozome v5	-	C3H	Database	Yes	No	
Cre16.g689535	Phytozome v5	-	C3H	Database	Yes	No	
Cre04.g231124	Phytozome v5	-	C3H	Database	Yes	No	
Cre07.g330050	Phytozome v5	-	C3H	Database	Yes	No	
Cre06.g278136	Phytozome v5	-	C3H	Database	Yes	No	
Cre06.g254650	Phytozome v5	-	C3H	Database	Yes	No	
Cre11.g476250	Phytozome v5	-	C3H	Database	Yes	No	
Cre17.g718300	Phytozome v5	-	C3H	Database	Yes	No	
Cre07.g341800	Phytozome v5	CGL107	NF-YB	Database	Yes	No	
Cre17.g739450	Phytozome v5	DRT1	NF-YB	Database	Yes	No	
Cre04.g226400	Phytozome v5	-	NF-YC	Database	Yes	No	
Cre03.g193900	Phytozome v5	-	NF-YC	Database	Yes	No	
Cre16.g680050	Phytozome v5	DRT2	NF-YC	Database	Yes	No	
Cre02.g079200	Phytozome v5	-	NF-YB	Database	Yes	No	
Cre12.g556400	Phytozome v5	-	NF-YC	Database	Yes	No	
Cre12.g550250	Phytozome v5	-	CPP	Database	Yes	No	
Cre08.g361400	Phytozome v5	-	CPP	Database	Yes	No	
Cre11.g481800	Phytozome v5	-	CPP	Database	Yes	No	
Cre06.g268600	Phytozome v5	NAB1	CSD	Database	Yes	No	
Cre02.g078831	Phytozome v5	-	CSD 	Database	Yes	No	
Cre07.g323000	Phytozome v5	DP1	E2F-DP	Database	Yes	No	
Cre01.g052300	Phytozome v5	E2F1	E2F-DP	Database	Yes	No	
Cre13.g572950	Phytozome v5	E2F2	E2F-DP	Database	Yes	No	
Cre02.g082550	Phytozome v5	ZEP1	FHA	Database	Yes	No	
Cre02.g119800	Phytozome v5	-	FHA	Database	Yes	No	
Cre03.g189850	Phytozome v5	-	FHA	Database	Yes	No	
Cre07.g316600	Phytozome v5	MKP5	FHA	Database	Yes	No	
Cre12.g516050	Phytozome v5	-	FHA	Database	Yes	No	
Cre16.g671900	Phytozome v5	PIN4	FHA	Database	Yes	No	
Cre12.g548250	Phytozome v5	-	FHA	Database	Yes	No	
Cre09.g402350	Phytozome v5	-	FHA	Database	Yes	No	
Cre12.g534450	Phytozome v5	CGL86	FHA	Database	Yes	No	
Cre04.g212050	Phytozome v5	-	FHA	Database	Yes	No	
Cre03.g152450	Phytozome v5	-	FHA	Database	Yes	No	
Cre09.g390430	Phytozome v5	-	FHA	Database	Yes	No	
Cre16.g648800	Phytozome v5	-	FHA	Database	Yes	No	
Cre17.g696750	Phytozome v5	-	G2-like	Database	Yes	No	
Cre06.g275350	Phytozome v5	ROC40	G2-like	Database	Yes	No	
Cre12.g495100	Phytozome v5	PSR1	G2-like	Database	Yes	No	
Cre02.g083750	Phytozome v5	ROC75	G2-like	Database	Yes	No	
Cre09.g410450	Phytozome v5	ROC15	G2-like	Database	Yes	No	
Cre02.g109650	Phytozome v5	GSP1	HB	Database	Yes	No	
Cre08.g375400	Phytozome v5	GSM1	HB	Database	Yes	No	
Cre09.g387150	Phytozome v5	HSF1	HSF	Database	Yes	No	
Cre07.g354500	Phytozome v5	HSF2	HSF	Database	Yes	No	
Cre06.g253250	Phytozome v5	-	MADS	Database	Yes	No	
Cre11.g467577	Phytozome v5	-	MADS	Database	Yes	No	
Cre12.g560750	Phytozome v5	-	mTERF	Database	Yes	No	
Cre10.g427000	Phytozome v5	MOC2	mTERF	Database	Yes	No	
Cre09.g408051	Phytozome v5	-	mTERF	Database	Yes	No	
Cre12.g542500	Phytozome v5	MOC1	mTERF	Database	Yes	No	
Cre10.g430750	Phytozome v5	-	Myb	Database	Yes	No	
Cre08.g364050	Phytozome v5	-	Myb	Database	Yes	No	
Cre06.g264400	Phytozome v5	-	Myb	Database	Yes	No	
Cre17.g714229	Phytozome v5	-	Myb	Database	Yes	No	
Cre02.g103450	Phytozome v5	-	Myb	Database	Yes	No	
Cre06.g249050	Phytozome v5	-	Myb	Database	Yes	No	
Cre07.g345350	Phytozome v5	-	Myb	Database	Yes	No	
Cre03.g197100	Phytozome v5	-	Myb	Database	Yes	No	
Cre02.g108350	Phytozome v5	-	Myb	Database	Yes	No	
Cre09.g399552	Phytozome v5	LCR1	Myb	Database	Yes	No	
Cre09.g399067	Phytozome v5	-	Myb	Database	Yes	No	
Cre01.g003376	Phytozome v5	-	Myb	Database	Yes	No	
Cre03.g197350	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre14.g632176	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre03.g144747	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre14.g609350	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre16.g677382	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre02.g089150	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre02.g113450	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre12.g507500	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre09.g411950	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre12.g522400	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre03.g198800	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre16.g695600	Phytozome v5	DNJ10	MYB-related	Database	Yes	No	
Cre01.g034350	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre03.g149201	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre12.g514400	Phytozome v5	-	MYB-related	Database	Yes	No	
Cre03.g176651	Phytozome v5	MYSM1	MYB-related	Database	Yes	No	
Cre03.g163200	Phytozome v5	-	NF-X1	Database	Yes	No	
Cre01.g038050	Phytozome v5	COP7	Orphans	Database	Yes	No	
Cre02.g074150	Phytozome v5	COP5	Orphans	Database	Yes	No	
Cre03.g180800	Phytozome v5	HDA16	Orphans	Database	Yes	No	
Cre06.g278200	Phytozome v5	ROC66	Orphans	Database	Yes	No	
Cre07.g329900	Phytozome v5	COP8	Orphans	Database	Yes	No	
Cre13.g602700	Phytozome v5	-	Orphans	Database	Yes	No	
Cre10.g446450	Phytozome v5	-	Orphans	Database	Yes	No	
Cre13.g572450	Phytozome v5	-	Orphans	Database	Yes	No	
Cre11.g469400	Phytozome v5	HKR4	Orphans	Database	Yes	No	
Cre16.g678900	Phytozome v5	HKR6	Orphans	Database	Yes	No	
Cre12.g534100	Phytozome v5	CON2	Orphans	Database	Yes	No	
Cre13.g571200	Phytozome v5	HKR5	Orphans	Database	Yes	No	
Cre15.g635100	Phytozome v5	-	Orphans	Database	Yes	No	
Cre16.g675100	Phytozome v5	CPLD53	Orphans	Database	Yes	No	
Cre07.g351550	Phytozome v5	-	Orphans	Database	Yes	No	
Cre16.g650400	Phytozome v5	CPL20	PLATZ	Database	Yes	No	
Cre12.g502251	Phytozome v5	-	PLATZ	Database	Yes	No	
Cre10.g453500	Phytozome v5	-	RWP-RK	Database	Yes	No	
Cre03.g149400	Phytozome v5	RWP11	RWP-RK	Database	Yes	No	
Cre03.g184600	Phytozome v5	RWP7	RWP-RK	Database	Yes	No	
Cre04.g218050	Phytozome v5	RWP8	RWP-RK	Database	Yes	No	
Cre06.g291500	Phytozome v5	RWP6	RWP-RK	Database	Yes	No	
Cre03.g153050	Phytozome v5	RWP1	RWP-RK	Database	Yes	No	
Cre03.g177700	Phytozome v5	NIT2	RWP-RK	Database	Yes	No	
Cre09.g387850	Phytozome v5	RWP13	RWP-RK	Database	Yes	No	
Cre03.g149350	Phytozome v5	RWP4	RWP-RK	Database	Yes	No	
Cre01.g004600	Phytozome v5	RWP12	RWP-RK	Database	Yes	No	
Cre14.g612100	Phytozome v5	RWP3	RWP-RK	Database	Yes	No	
Cre06.g275550	Phytozome v5	RWP2	RWP-RK	Database	Yes	No	
Cre01.g000050	Phytozome v5	RWP14	RWP-RK	Database	Yes	No	
Cre06.g275600	Phytozome v5	-	RWP-RK	Database	Yes	No	
Cre06.g297150	Phytozome v5	RWP9	RWP-RK	Database	Yes	No	
Cre03.g193400	Phytozome v5	-	S1Fa-like 	Database	Yes	No	
Cre03.g194950	Phytozome v5	RPOD	S1Fa-like 	Database	Yes	No	
Cre09.g390023	Phytozome v5	CRR1	SBP	Database	Yes	No	
Cre01.g043550	Phytozome v5	-	SBP	Database	Yes	No	
Cre02.g085150	Phytozome v5	-	SBP	Database	Yes	No	
Cre02.g104700	Phytozome v5	-	SBP	Database	Yes	No	
Cre02.g112750	Phytozome v5	-	SBP	Database	Yes	No	
Cre10.g433350	Phytozome v5	-	SBP	Database	Yes	No	
Cre06.g300600	Phytozome v5	-	SBP	Database	Yes	No	
Cre16.g686100	Phytozome v5	-	SBP	Database	Yes	No	
Cre07.g345050	Phytozome v5	-	SBP	Database	Yes	No	
Cre07.g335150	Phytozome v5	-	SBP	Database	Yes	No	
Cre10.g421550	Phytozome v5	-	SBP	Database	Yes	No	
Cre05.g233551	Phytozome v5	-	SBP	Database	Yes	No	
Cre04.g212700	Phytozome v5	-	SBP	Database	Yes	No	
Cre16.g673250	Phytozome v5	NRR1	SBP	Database	Yes	No	
Cre07.g325738	Phytozome v5	-	SBP	Database	Yes	No	
Cre17.g698233	Phytozome v5	-	SBP	Database	Yes	No	
Cre01.g070932	Phytozome v5	-	SBP	Database	Yes	No	
Cre01.g012200	Phytozome v5	-	SBP	Database	Yes	No	
Cre16.g683953	Phytozome v5	-	SBP	Database	Yes	No	
Cre16.g692500	Phytozome v5	-	SBP	Database	Yes	No	
Cre02.g110150	Phytozome v5	-	SBP	Database	Yes	No	
Cre01.g033900	Phytozome v5	-	SBP	Database	Yes	No	
Cre09.g399289	Phytozome v5	-	SBP	Database	Yes	No	
Cre08.g358563	Phytozome v5	-	Sigma70-like	Database	Yes	No	
Cre12.g489600	Phytozome v5	-	Sigma70-like	Database	Yes	No	
Cre03.g212641	Phytozome v5	-	TAZ	Database	Yes	No	
Cre03.g189650	Phytozome v5	-	TAZ	Database	Yes	No	
Cre03.g212977	Phytozome v5	-	TAZ	Database	Yes	No	
Cre11.g467665	Phytozome v5	-	TIG	Database	Yes	No	
Cre07.g340450	Phytozome v5	PKHD1	TIG	Database	Yes	No	
Cre10.g436800	Phytozome v5	-	TIG	Database	Yes	No	
Cre12.g520650	Phytozome v5	TLP1	TUB	Database	Yes	No	
Cre16.g667450	Phytozome v5	TLP2	TUB	Database	Yes	No	
Cre03.g155450	Phytozome v5	-	TUB	Database	Yes	No	
Cre09.g393654	Phytozome v5	-	VARL	Database	Yes	No	
Cre14.g617151	Phytozome v5	-	VARL	Database	Yes	No	
Cre17.g734612	Phytozome v5	MRP2	VARL	Database	Yes	No	
Cre09.g393284	Phytozome v5	RLS8	VARL	Database	Yes	No	
Cre06.g302150	Phytozome v5	-	VARL	Database	Yes	No	
Cre01.g010750	Phytozome v5	-	VARL	Database	Yes	No	
Cre17.g709800	Phytozome v5	RLS1	VARL	Database	Yes	No	
Cre15.g643700	Phytozome v5	RLS6	VARL	Database	Yes	No	
Cre10.g418600	Phytozome v5	RLS3	VARL	Database	Yes	No	
Cre06.g304250	Phytozome v5	RLS2	VARL	Database	Yes	No	
Cre17.g738600	Phytozome v5	RLS5	VARL	Database	Yes	No	
Cre14.g617200	Phytozome v5	RLS7	VARL	Database	Yes	No	
Cre02.g091550	Phytozome v5	WHI	Whirly	Database	Yes	No	
Cre04.g228400	Phytozome v5	WRK1	WRKY	Database	Yes	No	
Cre01.g009575	Phytozome v5	-	AP2	Database	Yes	No	
Cre03.g188200	Phytozome v5	RPH2	Myb_DNA-binding	Database	Yes	No	
Cre04.g229374	Phytozome v5	-	zf-CCCH	Database	Yes	No	
Cre05.g240600	Phytozome v5	-	DnaJ zf-C2H2	Database	Yes	No	
Cre05.g241634	Phytozome v5	HAV1	NF-YC Histone	Database	Yes	No	
Cre06.g278229	Phytozome v5	-	SBP	Database	Yes	No	
Cre06.g285600	Phytozome v5	RWP5	RWP-RK	Database	Yes	No	
Cre06.g292650	Phytozome v5	ROC93	TFIIS zf-CCCH	Database	Yes	No	
Cre07.g326150	Phytozome v5	-	zf-CCCH	Database	Yes	No	
Cre10.g450500	Phytozome v5	-	Myb_DNA-binding	Database	Yes	No	
Cre11.g467678	Phytozome v5	COP6	Bac_rhodopsin Guanylate_cyc HATPase_c HisKA Response_reg SAM_1	Database	Yes	No	
Cre11.g479450	Phytozome v5	-	bZIP_1 bZIP_2	Database	Yes	No	
Cre12.g502650	Phytozome v5	-	PLATZ	Database	Yes	No	
Cre12.g556950	Phytozome v5	-	bZIP_1	Database	Yes	No	
Cre16.g672400	Phytozome v5	-	Myb_DNA-binding	Database	Yes	No	
Cre16.g680232	Phytozome v5	-	DUF1042 bZIP_2	Database	Yes	No	
Cre06.g310500	Phytozome v5	-	bZIP	Database	Yes	No	
Cre07.g344668	Phytozome v5	-	bZIP	Database	Yes	No	
Cre08.g358532	Phytozome v5	-	GATA	Database	Yes	No	
Cre08.g358534	Phytozome v5	-	GATA	Database	Yes	No	
Cre09.g386753	Phytozome v5	-	S1Fa-like	Database	Yes	No	
Cre12.g489000	Phytozome v5	-	bZIP	Database	Yes	No	
Cre14.g631750	Phytozome v5	-	bZIP	Database	Yes	No	
Cre16.g667150	Phytozome v5	-	bHLH	Database	Yes	No	
Cre16.g672300	Phytozome v5	-	YABBY	Database	Yes	No	
Cre17.g729600	Phytozome v5	-	AP2	Database	Yes	No	
Cre02.g100100	Phytozome v5	-	AP2	Database	Yes	No	
Cre03.g144424	Phytozome v5	-	AP2	Database	Yes	No	
Cre06.g278181	Phytozome v5	-	ERF	Database	Yes	No	
Cre03.g174500	Phytozome v5	HDZ1	HB-other	Database	Yes	No	
Cre03.g200431	Phytozome v5	-	HB-other	Database	Yes	No	
Cre03.g152150	Phytozome v5	-	C2H2	Database	Yes	No	
Cre08.g371052	Phytozome v5	-	C3H	Database	Yes	No	
Cre12.g517350	Phytozome v5	LSD1	LSD	Database	Yes	No	
Cre12.g538801	Phytozome v5	-	C2H2	Database	Yes	No	
Cre13.g567250	Phytozome v5	-	C2H2	Database	Yes	No	
Cre13.g606750	Phytozome v5	-	C3H	Database	Yes	No	
Cre17.g696300	Phytozome v5	-	C2H2	Database	Yes	No	
Cre14.g621050	Phytozome v5	-	MYB	Database	Yes	No	
Cre02.g110550	Phytozome v5	-	MYB	Database	Yes	No	
Cre02.g111200	Phytozome v5	-	MYB	Database	Yes	No	
Cre02.g146629	Phytozome v5	-	MYB	Database	Yes	No	
Cre06.g289900	Phytozome v5	HEN2	MYB	Database	Yes	No	
Cre09.g391353	Phytozome v5	-	MYB	Database	Yes	No	
Cre09.g397475	Phytozome v5	-	MYB	Database	Yes	No	
Cre09.g411600	Phytozome v5	-	MYB	Database	Yes	No	
Cre10.g421021	Phytozome v5	-	MYB	Database	Yes	No	
Cre14.g621172	Phytozome v5	-	MYB	Database	Yes	No	
Cre14.g633789	Phytozome v5	-	MYB	Database	Yes	No	
Cre15.g639350	Phytozome v5	-	MYB	Database	Yes	No	
Cre16.g686250	Phytozome v5	-	MYB	Database	Yes	No	
415443	Phytozome v4	-	ACT HLH	Database	Yes	No	
282912	Phytozome v4	-	AP2	Database	Yes	No	
286726	Phytozome v4	-	AP2	Database	Yes	No	
347049	Phytozome v4	-	AP2	Database	Yes	No	
396350	Phytozome v4	-	AP2	Database	Yes	No	
403218	Phytozome v4	-	AP2	Database	Yes	No	
412290	Phytozome v4	-	AP2	Database	Yes	No	
416794	Phytozome v4	-	AP2	Database	Yes	No	
420535	Phytozome v4	-	AP2	Database	Yes	No	
8922	Phytozome v4	-	B3	Database	Yes	No	
296386	Phytozome v4	-	Bac_rhodopsin Guanylate_cyc HATPase_c HisKA Response_reg SAM_1 SAM_2	Database	Yes	No	
